year,pct,stops,stop_arrests,arrests,crimes,Latitude,Longitude,population,policy,nonstop_arrests,crimerate,nonstop_arrestrate,stoprate,stop_arrestrate,arrestrate,normal_year,log_crimerate,log_nonstop_arrestrate,log_stoprate,log_stop_arrestrate,log_arrestrate,log_nonstop_arrests,log_arrests,log_population,log_stops,log_stop_arrests,log_crimes
2007,70,9957,281,5800,8790,40.631468616777,-73.95943076622518,160664,1,5519,54.71045162575312,34.35119255091371,61.97405766070806,1.7489916845092863,36.100184235422994,2,4.002054762944845,3.5366367357051245,4.126715872653707,0.5590394415993687,3.5862979688001335,8.615951963439501,8.66561319653451,11.987070506716513,9.206031100388085,5.638354669333745,9.081369990679223
2008,70,10479,341,5750,8546,40.631468616777,-73.95943076622518,160664,1,5409,53.191754219987054,33.666533884379824,65.22307424189613,2.1224418662550417,35.78897575063487,3,3.9739033884695933,3.51650428413705,4.177813305740565,0.7525672495491399,3.577639906057019,8.595819511871428,8.656955133791396,11.987070506716513,9.257128533474942,5.831882477283517,9.05321861620397
2009,70,10287,303,6012,8029,40.631468616777,-73.95943076622518,160664,1,5709,49.973858487277795,35.5337847931086,64.0280336603097,1.8859234178160633,37.41970821092466,4,3.911500038450307,3.570483928229882,4.159321013396653,0.6344175777749922,3.622197523138488,8.64979915596426,8.701512750872865,11.987070506716513,9.23863624113103,5.713732805509369,8.990815266184685
2010,70,10291,294,6286,7879,40.631468616777,-73.95943076622518,160664,1,5992,49.04023303291341,37.29522481700941,64.05293033909277,1.8299058905542,39.12513070756361,5,3.8926410435113112,3.6188652974626785,4.159709778101715,0.6042645396043046,3.666764989623136,8.698180525197055,8.746080217357513,11.987070506716513,9.239025005836092,5.683579767338681,8.971956271245688
2011,70,12304,254,5600,7813,40.631468616777,-73.95943076622518,160664,1,5346,48.629437832993084,33.27441119354678,76.58218393666284,1.5809391027236968,34.85535029627048,6,3.8842290642623674,3.5047886689644874,4.338364464011049,0.45801903928415966,3.5512066489888636,8.584103896698863,8.630521876723241,11.987070506716513,9.417679691745425,5.537334267018537,8.963544291996744
2012,70,11248,152,5108,7903,40.631468616777,-73.95943076622518,160664,1,4956,49.18961310561171,30.846985012199372,70.00946073793756,0.9460737937559129,31.793058805955287,7,3.8956824854705983,3.429039015014656,4.248630386316069,-0.05543470688810061,3.459247989418053,8.508354242749032,8.53856321715243,11.987070506716513,9.327945614050446,5.0238805208462765,8.974997713204976
2013,70,4033,152,5153,7816,40.631468616777,-73.95943076622518,160664,0,5001,48.648110342080365,31.12707264850869,25.102076383010505,0.9460737937559129,32.0731464422646,8,3.8846129659882416,3.438077943684527,3.2229505671389913,-0.05543470688810061,3.4680191205938473,8.517393171418904,8.547334348328224,11.987070506716513,8.302265794873367,5.0238805208462765,8.96392819372262
2014,70,598,34,5401,7699,40.631468616777,-73.95943076622518,160664,0,5367,47.91988248767615,33.405118757157794,3.7220534780660257,0.2116217696559279,33.61674052681372,9,3.8695305015436725,3.508709144442452,1.3142755262162547,-1.5529547031182156,3.515024172858514,8.588024372176829,8.594339400592892,11.987070506716513,6.393590753950631,3.5263605246161616,8.94884572927805
2015,70,557,30,4384,7615,40.631468616777,-73.95943076622518,160664,0,4354,47.39705223323209,27.100034855350295,3.46686252053976,0.18672509087287756,27.286759946223174,10,3.858560037594885,3.299535014060116,1.243250012192907,-1.6781178460722217,3.3064016008934747,8.378850241794492,8.385716828627851,11.987070506716513,6.322565239927284,3.4011973816621555,8.937875265329263
2016,70,108,16,3840,7356,40.631468616777,-73.95943076622518,160664,0,3824,45.78499228202958,23.801224916596123,0.6722103271423592,0.09958671513220135,23.900811631728327,11,3.8239563579898346,3.169737046436915,-0.39718400061015735,-2.306726505494596,3.1739124178473954,8.249052274171293,8.253227645581772,11.987070506716513,4.68213122712422,2.772588722239781,8.903271585724212
2017,70,109,33,4045,7198,40.631468616777,-73.95943076622518,160664,0,4012,44.801573470099086,24.971368819399494,0.6784344968381217,0.2053975999601653,25.17676641935966,12,3.802243260904599,3.2177299213474493,-0.3879673455052334,-1.582807666267897,3.2259216017582153,8.297045149081827,8.305236829492593,11.987070506716513,4.6913478822291435,3.4965075614664802,8.881558488638976
2018,70,115,30,3874,6945,40.631468616777,-73.95943076622518,160664,0,3844,43.22685853707115,23.92570831051138,0.7157795150126973,0.18672509087287756,24.112433401384255,13,3.766462027454067,3.174953542355806,-0.33438309937112687,-1.6781178460722217,3.1827276162325644,8.254268770090183,8.262042843966942,11.987070506716513,4.74493212836325,3.4011973816621555,8.845777255188445
2006,71,4194,142,4950,7390,40.663193247343,-73.94784906859903,98429,1,4808,75.07949892816141,48.84739253675238,42.60939357303234,1.4426642554531692,50.29005679220555,1,4.318547537856952,3.888701000129748,3.7520747353765698,0.36649158151596506,3.9178073794774404,8.478036476215044,8.507142855562735,11.497090755067433,8.341410211461865,4.955827057601261,8.907883013942248
2007,71,4299,190,5700,7351,40.663193247343,-73.94784906859903,98429,1,5510,74.68327423828343,55.97943695455607,43.67615235347306,1.9303254122260716,57.90976236678215,2,4.313256161288792,4.024984426061664,3.776802240410986,0.6576885960751905,4.058885977737346,8.61431990214696,8.648221453822641,11.497090755067433,8.366137716496281,5.247024072160486,8.902591637374087
2008,71,4817,213,4916,7106,40.663193247343,-73.94784906859903,98429,1,4703,72.19417041725508,47.78063375631166,48.9388290036473,2.163996383179754,49.94463013949141,3,4.279359300495677,3.866620405859752,3.890571130544925,0.7719566896241296,3.91091499460063,8.455955881945048,8.500250470685925,11.497090755067433,8.479906606630221,5.3612921657094255,8.868694776580972
2009,71,6865,281,5246,7063,40.663193247343,-73.94784906859903,98429,1,4965,71.75730729764602,50.44245090369708,69.74570502595779,2.854849688608032,53.29730059230511,4,4.273289693323627,3.920833100393977,4.244855842116776,1.04901919324845,3.9758856843415233,8.510168576479273,8.56522116042682,11.497090755067433,8.834191318202071,5.638354669333745,8.862625169408922
2010,71,7212,268,5827,7500,40.663193247343,-73.94784906859903,98429,1,5559,76.197055745766,56.47725771876175,73.27108880512857,2.722774791982038,59.20003251074379,5,4.333322823439106,4.033838038868174,4.294166108237913,1.0016515044255612,4.080922091057778,8.62317351495347,8.670257567143075,11.497090755067433,8.883501584323207,5.5909869805108565,8.922658299524402
2011,71,6014,527,5724,7397,40.663193247343,-73.94784906859903,98429,1,5197,75.1506161801908,52.79947982809944,61.09987910067155,5.354113117069156,58.1535929451686,6,4.319494315502572,3.966501338923146,4.112509887463179,1.6778650724560666,4.063087664591046,8.555836815008442,8.652423140676342,11.497090755067433,8.701845363548474,6.267200548541362,8.908829791587868
2012,71,4676,354,5012,7139,40.663193247343,-73.94784906859903,98429,1,4658,72.52943746253644,47.32345142183706,47.5063243556269,3.5965010312001544,50.91995245303722,7,4.283992513417164,3.857005974358991,3.8608628465066634,1.2799614370484789,3.9302548399306634,8.446341450444287,8.51959031601596,11.497090755067433,8.450198322591959,5.869296913133774,8.87332798950246
2013,71,2860,253,4921,6948,40.663193247343,-73.94784906859903,98429,0,4668,70.58895244287761,47.425047496164744,29.05647725771876,2.570380680490506,49.99542817665525,8,4.2568736512757,3.859150517321151,3.3692414277286025,0.9440540126422245,3.9119315647806827,8.448485993406447,8.501267040865978,11.497090755067433,7.958576903813898,5.53338948872752,8.846209127360996
2014,71,546,51,5075,7053,40.663193247343,-73.94784906859903,98429,0,5024,71.65571122331833,51.041867742230444,5.547145658291764,0.5181399790712087,51.560007721301645,9,4.271872861122883,3.932646232062739,1.7132834996596094,-0.6575098433609698,3.9427463278246924,8.521981708148035,8.532081803909987,11.497090755067433,6.302618975744905,3.9318256327243257,8.86120833720818
2015,71,252,32,4733,6969,40.663193247343,-73.94784906859903,98429,0,4701,70.80230419896576,47.760314541446114,2.560221073057737,0.3251074378486015,48.085421979294715,10,4.259891545353224,3.8661950549388346,0.9400936114261277,-1.123599573285569,3.872979053820952,8.45553053102413,8.462314529906248,11.497090755067433,5.529429087511423,3.4657359027997265,8.84922702143852
2016,71,192,36,4316,6824,40.663193247343,-73.94784906859903,98429,0,4280,69.32916112121427,43.48311981225046,1.9506446270916091,0.3657458675796767,43.84886567983013,11,4.23886561308622,3.7723728124905467,0.6681598959424859,-1.0058165376291857,3.7807488502927296,8.361708288575842,8.370084326378025,11.497090755067433,5.2574953720277815,3.58351893845611,8.828201089171515
2017,71,200,31,3799,6280,40.663193247343,-73.94784906859903,98429,0,3768,63.80233467778805,38.281400806672835,2.0319214865537596,0.31494783041583274,38.59634863708866,12,4.155789783376949,3.644964159610958,0.7089818904627411,-1.1553482716001493,3.65315767710233,8.234299635696253,8.242493153187626,11.497090755067433,5.298317366548036,3.4339872044851463,8.745125259462244
2018,71,179,22,3072,6046,40.663193247343,-73.94784906859903,98429,0,3050,61.42498653852015,30.986802669944833,1.8185697304656148,0.22351136352091355,31.210314033465746,13,4.117816699254107,3.4335613935161615,0.5980503297554594,-1.4982930227269797,3.4407486181822673,8.022896869601457,8.030084094267563,11.497090755067433,5.187385805840755,3.091042453358316,8.707152175339404
2006,72,4916,132,4271,5983,40.6517336727711,-74.00061301277108,126230,1,4139,47.397607541788794,32.78935276875545,38.94478333201299,1.0457102115186563,33.8350629802741,1,3.8585717536252613,3.490103851983962,3.662144830921155,0.044696282821600444,3.5214976310766963,8.328209491748732,8.359603270841466,11.745860918746907,8.500250470685925,4.882801922586371,8.696677393390031
2007,72,3625,181,4419,5580,40.6517336727711,-74.00061301277108,126230,1,4238,44.20502257783411,33.573635427394436,28.717420581478255,1.433890517309673,35.00752594470411,2,3.788838415610586,3.513741099063474,3.357503927524005,0.3603913915010556,3.5555630653659698,8.351846738828245,8.39366870513074,11.745860918746907,8.195609567288775,5.198497031265826,8.626944055375356
2008,72,3743,201,4036,5765,40.6517336727711,-74.00061301277108,126230,1,3835,45.670601283371624,30.381050463439752,29.652222134199476,1.5923314584488633,31.973381921888617,3,3.8214547929383893,3.4138190740365864,3.3895370681396586,0.4651992682943055,3.464903741708729,8.251924713801357,8.3030093814735,11.745860918746907,8.22764270790443,5.303304908059076,8.65956043270316
2009,72,3999,312,3778,5251,40.6517336727711,-74.00061301277108,126230,1,3466,41.598669096094426,27.45781509942169,31.68026618078111,2.4716786817713694,29.92949378119306,4,3.7280681738730888,3.312650830510781,3.455693969082048,0.9048975480447119,3.3988444082966844,8.150756470275551,8.236950048061455,11.745860918746907,8.293799608846818,5.7430031878094825,8.566173813637858
2010,72,4390,337,3998,5518,40.6517336727711,-74.00061301277108,126230,1,3661,43.71385566030262,29.002614275528796,34.777786580052286,2.6697298581953577,31.672344133724156,5,3.777665115012461,3.367385973355466,3.548978866304447,0.9819772905875914,3.455443875295575,8.205491613120236,8.293549515060345,11.745860918746907,8.387084506069217,5.820082930352362,8.615770754777232
2011,72,6977,222,3631,5279,40.6517336727711,-74.00061301277108,126230,1,3409,41.820486413689295,27.006258417174998,55.27212231640656,1.7586944466450132,28.76495286382001,6,3.733386325058846,3.296068632373133,4.012268664174466,0.5645717421075093,3.3591577316495655,8.134174272137903,8.197263371414335,11.745860918746907,8.850374303939237,5.402677381872279,8.571491964823617
2012,72,5199,230,3555,5483,40.6517336727711,-74.00061301277108,126230,1,3325,43.436584013309044,26.3408064643904,41.186722649132534,1.8220708231006892,28.16287728749109,7,3.771302035639278,3.271119313325184,3.7181159386189453,0.5999736691584251,3.338004702472571,8.109224953089955,8.176110342237342,11.745860918746907,8.556221578383715,5.438079308923196,8.609407675404048
2013,72,2265,158,3550,5417,40.6517336727711,-74.00061301277108,126230,0,3392,42.91372890754971,26.871583617206685,17.94343658401331,1.2516834349996038,28.12326705220629,8,3.7591917958931287,3.2910693571470233,2.887224398152364,0.2244893932621964,3.3365972427046913,8.129174996911793,8.174702882469461,11.745860918746907,7.725330037917135,5.062595033026967,8.597297435657898
