year,pct,stops,stop_arrests,arrests,crimes,Latitude,Longitude,population
2008,33,4525,420,6843,5059,40.84186778786129,-73.94023871618502,77645
2009,33,5829,473,6538,4715,40.84186778786129,-73.94023871618502,77645
2010,33,4358,355,6077,4496,40.84186778786129,-73.94023871618502,77645
2011,33,7041,385,5704,4004,40.84186778786129,-73.94023871618502,77645
2012,33,3620,240,5114,4088,40.84186778786129,-73.94023871618502,77645
2013,33,2215,127,5450,4246,40.84186778786129,-73.94023871618502,77645
2014,33,300,32,4863,3901,40.84186778786129,-73.94023871618502,77645
2015,33,89,9,4175,3930,40.84186778786129,-73.94023871618502,77645
2016,33,65,20,3977,4143,40.84186778786129,-73.94023871618502,77645
2017,33,199,63,3497,4082,40.84186778786129,-73.94023871618502,77645
2018,33,128,28,2651,4000,40.84186778786129,-73.94023871618502,77645
2006,34,7282,167,5652,5304,40.85956324377883,-73.92764140829489,112375
2007,34,6717,331,6374,5675,40.85956324377883,-73.92764140829489,112375
2008,34,7611,447,5768,5561,40.85956324377883,-73.92764140829489,112375
2009,34,7296,364,6126,5496,40.85956324377883,-73.92764140829489,112375
2010,34,6800,487,6071,5125,40.85956324377883,-73.92764140829489,112375
2011,34,11548,434,5957,5205,40.85956324377883,-73.92764140829489,112375
2012,34,9675,402,5998,5239,40.85956324377883,-73.92764140829489,112375
2013,34,4184,292,5392,5270,40.85956324377883,-73.92764140829489,112375
2014,34,393,92,5795,5286,40.85956324377883,-73.92764140829489,112375
2015,34,124,14,4530,5446,40.85956324377883,-73.92764140829489,112375
2016,34,133,21,4454,5538,40.85956324377883,-73.92764140829489,112375
2017,34,192,52,4126,5867,40.85956324377883,-73.92764140829489,112375
2018,34,188,44,3096,5432,40.85956324377883,-73.92764140829489,112375
2006,40,15481,721,10964,12436,40.81186088914729,-73.91652095710594,91497
2007,40,12662,715,11167,12378,40.81186088914729,-73.91652095710594,91497
2008,40,12616,716,11071,11982,40.81186088914729,-73.91652095710594,91497
2009,40,15167,608,11989,12067,40.81186088914729,-73.91652095710594,91497
2010,40,17262,1098,11543,11482,40.81186088914729,-73.91652095710594,91497
2011,40,17690,1121,10753,10803,40.81186088914729,-73.91652095710594,91497
2012,40,18276,1044,11319,11794,40.81186088914729,-73.91652095710594,91497
2013,40,4592,600,11296,11505,40.81186088914729,-73.91652095710594,91497
2014,40,898,668,12718,11632,40.81186088914729,-73.91652095710594,91497
2015,40,927,540,12116,12529,40.81186088914729,-73.91652095710594,91497
2016,40,375,172,10358,12373,40.81186088914729,-73.91652095710594,91497
2017,40,372,114,8357,12109,40.81186088914729,-73.91652095710594,91497
2018,40,311,104,6730,11653,40.81186088914729,-73.91652095710594,91497
2006,41,3698,225,5906,6067,40.816385251943466,-73.89063789434628,52246
2007,41,3386,244,6898,7014,40.816385251943466,-73.89063789434628,52246
2008,41,7408,527,7310,7049,40.816385251943466,-73.89063789434628,52246
2009,41,8038,465,7387,6839,40.816385251943466,-73.89063789434628,52246
2010,41,7838,624,7264,6674,40.816385251943466,-73.89063789434628,52246
2011,41,11329,503,8007,6728,40.816385251943466,-73.89063789434628,52246
2012,41,8611,404,7388,7017,40.816385251943466,-73.89063789434628,52246
2013,41,1565,109,7224,7472,40.816385251943466,-73.89063789434628,52246
2014,41,1015,79,7419,7725,40.816385251943466,-73.89063789434628,52246
2015,41,527,79,6531,7201,40.816385251943466,-73.89063789434628,52246
2016,41,161,31,6133,7450,40.816385251943466,-73.89063789434628,52246
2017,41,87,20,4924,6624,40.816385251943466,-73.89063789434628,52246
2018,41,72,23,3748,5976,40.816385251943466,-73.89063789434628,52246
2006,42,7390,503,5596,8591,40.83158416902984,-73.89932369179103,79762
2007,42,7483,532,5813,8625,40.83158416902984,-73.89932369179103,79762
2008,42,8555,640,6408,7836,40.83158416902984,-73.89932369179103,79762
2009,42,9471,423,7679,7848,40.83158416902984,-73.89932369179103,79762
2010,42,11683,810,7472,7467,40.83158416902984,-73.89932369179103,79762
2011,42,12414,786,7209,7799,40.83158416902984,-73.89932369179103,79762
2012,42,7761,687,6354,7609,40.83158416902984,-73.89932369179103,79762
2013,42,2424,291,6322,7373,40.83158416902984,-73.89932369179103,79762
2014,42,698,245,6361,7609,40.83158416902984,-73.89932369179103,79762
2015,42,375,153,5713,7565,40.83158416902984,-73.89932369179103,79762
2016,42,185,80,5917,8161,40.83158416902984,-73.89932369179103,79762
2017,42,283,100,5327,7987,40.83158416902984,-73.89932369179103,79762
2018,42,254,61,4278,8077,40.83158416902984,-73.89932369179103,79762
2006,43,9784,707,10690,14173,40.826144428643204,-73.86159587973195,172122
2007,43,8951,728,12077,15576,40.826144428643204,-73.86159587973195,172122
2008,43,10222,794,11117,14823,40.826144428643204,-73.86159587973195,172122
2009,43,9886,1050,11266,14470,40.826144428643204,-73.86159587973195,172122
2010,43,11507,1072,11409,14388,40.826144428643204,-73.86159587973195,172122
2011,43,17281,1200,12381,14405,40.826144428643204,-73.86159587973195,172122
2012,43,10655,818,10433,13243,40.826144428643204,-73.86159587973195,172122
2013,43,2950,289,8127,12573,40.826144428643204,-73.86159587973195,172122
2014,43,427,154,8198,12129,40.826144428643204,-73.86159587973195,172122
2015,43,405,181,6540,11654,40.826144428643204,-73.86159587973195,172122
2016,43,303,103,6108,11807,40.826144428643204,-73.86159587973195,172122
2017,43,103,38,6005,11132,40.826144428643204,-73.86159587973195,172122
2018,43,396,110,4842,10400,40.826144428643204,-73.86159587973195,172122
2006,44,9208,251,11858,13196,40.83487178866857,-73.92029052747876,146441
2007,44,7997,343,13668,12769,40.83487178866857,-73.92029052747876,146441
2008,44,8883,379,13810,12883,40.83487178866857,-73.92029052747876,146441
2009,44,11956,515,14271,12772,40.83487178866857,-73.92029052747876,146441
2010,44,12898,1202,15859,13579,40.83487178866857,-73.92029052747876,146441
2011,44,16903,1264,15078,13534,40.83487178866857,-73.92029052747876,146441
2012,44,15414,1335,13322,12814,40.83487178866857,-73.92029052747876,146441
2013,44,3436,563,12494,12459,40.83487178866857,-73.92029052747876,146441
2014,44,1330,191,10824,11660,40.83487178866857,-73.92029052747876,146441
2015,44,461,63,10450,11770,40.83487178866857,-73.92029052747876,146441
2016,44,125,13,8765,11623,40.83487178866857,-73.92029052747876,146441
2017,44,286,82,7371,11747,40.83487178866857,-73.92029052747876,146441
2018,44,221,72,7123,12069,40.83487178866857,-73.92029052747876,146441
2006,45,2551,204,2969,6855,40.838127076098594,-73.82073679946411,120833
2007,45,2635,161,2927,6686,40.838127076098594,-73.82073679946411,120833
2008,45,3402,174,3339,6827,40.838127076098594,-73.82073679946411,120833
2009,45,4285,245,3386,6771,40.838127076098594,-73.82073679946411,120833
2010,45,4907,318,3333,6659,40.838127076098594,-73.82073679946411,120833
2011,45,5362,346,3406,6222,40.838127076098594,-73.82073679946411,120833
2012,45,3995,323,3167,5787,40.838127076098594,-73.82073679946411,120833
2013,45,1165,91,2824,5699,40.838127076098594,-73.82073679946411,120833
2014,45,298,41,3004,6157,40.838127076098594,-73.82073679946411,120833
