"YEAR","ARREST_PRECINCT","ARRESTS"
2017,1,3074
2017,5,5164
2017,6,3194
2017,7,2713
2017,9,2888
2017,10,2393
2017,13,3960
2017,14,9655
2017,17,1699
2017,18,4937
2017,19,2860
2017,20,1889
2017,22,200
2017,23,4216
2017,24,2185
2017,25,6464
2017,26,1971
2017,28,3226
2017,30,1997
2017,32,3859
2017,33,3497
2017,34,4126
2017,40,8357
2017,41,4924
2017,42,5327
2017,43,6005
2017,44,7371
2017,45,2542
2017,46,5432
2017,47,5570
2017,48,5009
2017,49,3757
2017,50,1627
2017,52,6898
2017,60,4133
2017,61,2635
2017,62,2394
2017,63,1996
2017,66,1568
2017,67,5074
2017,68,2898
2017,69,2851
2017,70,4045
2017,71,3799
2017,72,3748
2017,73,6204
2017,75,8144
2017,76,2404
2017,77,4310
2017,78,2212
2017,79,4120
2017,81,2948
2017,83,3492
2017,84,4304
2017,88,1858
2017,90,3271
2017,94,1676
2017,100,1856
2017,101,2720
2017,102,4228
2017,103,4942
2017,104,2993
2017,105,3899
2017,106,2910
2017,107,3142
2017,108,2191
2017,109,4062
2017,110,3721
2017,111,1402
2017,112,1537
2017,113,6071
2017,114,5264
2017,115,4839
2017,120,4742
2017,121,3038
2017,122,1996
2017,123,1602
2018,1,2792
2018,5,4570
2018,6,2722
2018,7,2311
2018,9,2310
2018,10,1954
2018,13,3202
2018,14,8097
2018,17,1491
2018,18,3883
2018,19,2352
2018,20,1622
2018,22,137
2018,23,3348
2018,24,1803
2018,25,5356
2018,26,1778
2018,28,2320
2018,30,1631
2018,32,3130
2018,33,2651
2018,34,3096
2018,40,6730
2018,41,3748
2018,42,4278
2018,43,4842
2018,44,7123
2018,45,2617
2018,46,5743
2018,47,5182
2018,48,4604
2018,49,3344
2018,50,1320
2018,52,5915
2018,60,3880
2018,61,2231
2018,62,1653
2018,63,2051
2018,66,1293
2018,67,4736
2018,68,2502
2018,69,2176
2018,70,3874
2018,71,3072
2018,72,3286
2018,73,5482
2018,75,6694
2018,76,2080
2018,77,3650
2018,78,1783
2018,79,3828
2018,81,2157
2018,83,3053
2018,84,3607
2018,88,1415
2018,90,2539
2018,94,1365
2018,100,1552
2018,101,2701
2018,102,3496
2018,103,4132
2018,104,2624
2018,105,3195
2018,106,2777
2018,107,2309
2018,108,1929
2018,109,3984
2018,110,3656
2018,111,1055
2018,112,1628
2018,113,6251
2018,114,4281
2018,115,4370
2018,120,4587
2018,121,2609
2018,122,2004
2018,123,1224
